Product ID;Product Category;Product Subcategory;Product Name;Product Description;Product Price;Product Weight;Product Size;Order ID;Customer ID;Order Date;Order Status;Order Quantity;Order Total;Payment Method
1045;Touring Bikes;Tandem;DuoExplorer 1000;Comfortable Tandem Touring Bike;2000.00;36.0;M;2045;3045;15/03/2023;Processing;2;4000.00;PayPal
1046;Touring Bikes;Tandem;DuoExplorer 2000;High-Performance Tandem Touring Bike;2300.00;34.0;L;2046;3046;16/03/2023;Shipped;1;2300.00;Credit Card
1047;Mountain Bikes;Electric;E-Mountain 1000;Electric Mountain Bike;3000.00;40.0;M;2047;3047;17/03/2023;Shipped;2;6000.00;PayPal
1048;Mountain Bikes;Electric;E-Mountain 2000;High-Performance Electric Mountain Bike;3500.00;38.0;L;2048;3048;18/03/2023;Processing;1;3500.00;Credit Card
1061;E-Bikes;City;UrbanEco 1000;Eco-Friendly Electric City Bike;2000.00;35.0;S;2061;3061;1/03/2023;Shipped;2;4000.00;Credit Card
1062;E-Bikes;City;UrbanEco 2000;High-Performance Electric City Bike;2500.00;33.0;L;2062;3062;2/03/2023;Processing;1;2500.00;PayPal
1063;Road Bikes;Gravel;GravelMaster 1000;All-Terrain Gravel Bike;1700.00;22.0;M;2063;3063;3/03/2023;Cancelled;3;5100.00;Credit Card
1064;Road Bikes;Gravel;GravelMaster 2000;High-Performance Gravel Bike;2100.00;20.0;L;2064;3064;4/03/2023;Shipped;1;2100.00;Credit Card
1065;Touring Bikes;Folding;FoldAway 1000;Compact Folding Touring Bike;1500.00;30.0;M;2065;3065;5/03/2023;Processing;2;3000.00;PayPal
1066;Touring Bikes;Folding;FoldAway 2000;Advanced Folding Touring Bike;1800.00;28.0;L;2066;3066;6/03/2023;Shipped;1;1800.00;Credit Card
1067;E-Bikes;Mountain;E-TrailBlazer 1000;Electric Mountain Bike;3200.00;42.0;M;2067;3067;7/03/2023;Shipped;2;6400.00;PayPal
1068;E-Bikes;Mountain;E-TrailBlazer 2000;High-Performance Electric Mountain Bike;3700.00;40.0;L;2068;3068;8/03/2023;Processing;1;3700.00;Credit Card
1081;Hybrid Bikes;Commuter;CommutePro 1000;Efficient Commuter Hybrid Bike;1200.00;27.0;M;2081;3081;19/02/2023;Shipped;2;2400.00;Credit Card
1082;Hybrid Bikes;Commuter;CommutePro 2000;High-Performance Commuter Hybrid Bike;1500.00;25.0;L;2082;3082;20/02/2023;Processing;1;1500.00;PayPal
1083;Road Bikes;Aero;AeroSpeed 1000;Aerodynamic Road Bike;2800.00;18.0;M;2083;3083;21/02/2023;Cancelled;3;8400.00;Credit Card
1084;Road Bikes;Aero;AeroSpeed 2000;Advanced Aerodynamic Road Bike;3200.00;16.0;L;2084;3084;22/02/2023;Shipped;1;3200.00;Credit Card
1085;Touring Bikes;Recumbent;ReclineRider 1000;Comfortable Recumbent Touring Bike;2000.00;33.0;M;2085;3085;23/02/2023;Processing;2;4000.00;PayPal
1086;Touring Bikes;Recumbent;ReclineRider 2000;High-Performance Recumbent Touring Bike;2400.00;30.0;L;2086;3086;24/02/2023;Shipped;1;2400.00;Credit Card
1087;Mountain Bikes;Downhill;DownhillDominator 1000;Downhill Mountain Bike;2900.00;34.0;M;2087;3087;25/02/2023;Shipped;2;5800.00;PayPal
1088;Mountain Bikes;Downhill;DownhillDominator 2000;High-Performance Downhill Mountain Bike;3300.00;32.0;L;2088;3088;26/02/2023;Processing;1;3300.00;PayPal
1101;Kids Bikes;Balance;LittleBalancer 1000;Starter Balance Bike For Kids;150.00;10.0;M;2101;3101;1/02/2023;Shipped;2;300.00;Credit Card
1102;Kids Bikes;Balance;LittleBalancer 2000;Upgraded Balance Bike For Kids;200.00;9.0;L;2102;3102;2/02/2023;Processing;1;200.00;PayPal
1103;Bmx Bikes;Freestyle;FreestyleMaster 1000;Beginner Freestyle Bmx Bike;400.00;25.0;M;2103;3103;3/02/2023;Cancelled;3;1200.00;Credit Card
1104;Bmx Bikes;Freestyle;FreestyleMaster 2000;Advanced Freestyle Bmx Bike;600.00;23.0;L;2104;3104;4/02/2023;Shipped;1;600.00;Credit Card
1105;Mountain Bikes;Cross Country;XC-Rider 1000;Cross Country Mountain Bike;1800.00;29.0;M;2105;3105;5/02/2023;Processing;2;3600.00;PayPal
1106;Mountain Bikes;Cross Country;XC-Rider 2000;High-Performance Cross Country Bike;2400.00;27.0;L;2106;3106;6/02/2023;Shipped;1;2400.00;Credit Card
1107;Road Bikes;Endurance;EnduranceElite 1000;Endurance Road Bike;2100.00;20.0;M;2107;3107;7/02/2023;Shipped;2;4200.00;PayPal
1108;Road Bikes;Endurance;EnduranceElite 2000;High-Performance Endurance Road Bike;2600.00;18.0;L;2108;3108;8/02/2023;Processing;1;2600.00;Credit Card
